ID;Название товара;Изображение;Новинка;Артикул;Остаток;Цена продажи;Старая цена;Цена закупки;Страна производства;Материал;Размер;Бренд;Количество в упаковке;Штрих-код;Минимальная партия
20284;"Поднос &quot;Зиланд&quot; ";https://site.com/upload/iblock/7e0/7e0231ecd9ecff4b329be09c2728269a.jpg;1;2006503;14;2940;;1470;Германия;Дерево;57х12х70см;BOLTZE;2;;2
2626;"Набор из 2-х подсвечников &quot;Кимберли&quot;";https://site.com/upload/iblock/cf1/cf111c832d090da675aea8db5c08ab53.jpg;1;2016684;12;1760;;880;Германия;Металл; 7х20см/9х30см;BOLTZE;12;;1
4467;"Подсвечник &quot;Артишок&quot; в ассортименте ";https://site.com/upload/iblock/008/00828947be6fc7e169d92e31ddd44e75.jpg;1;2012301;14;1340;;670;Германия;Керамика;14х7х14см;BOLTZE;2;;2
7039;"Подсвечник &quot;Ками&quot; ";https://site.com/upload/iblock/f47/f47607ccff9544c64a26e0cf6d4ae66b.jpg;1;2013171;7;850;;425;Германия;Металл;30х3х31см;BOLTZE;16;;1
12641;"Подсвечник &quot;Романс&quot; в ассортименте";https://site.com/upload/iblock/f5e/f5e438db032849c5ddd0937a47bafa55.jpg;1;1011514;52;590;0;295;Германия;Стекло;11х16см;BOLTZE;12;;2
15641;"Подсвечник &quot;Романтика&quot; ";https://site.com/upload/iblock/c66/c66c4a0db1a460048dfad61846637872.jpg;1;2013896;1;14280;;7140;Германия;Стекло,металл;36х36х73см;BOLTZE;2;;1
15807;"Подсвечник &quot;Акита&quot; ";https://site.com/upload/iblock/dd5/dd5514baab94d36e6a785e2293d430b3.jpg;1;2014365;5;6234;;3117;Германия;Металл,дерево;25х44см;BOLTZE;2;;1
17268;"Подсвечник &quot;Артишок&quot; в ассортименте";https://site.com/upload/iblock/aae/aaef0f66a20d6a9f0bb73dc31a2f5b03.jpg;1;1019721;28;974;;487;Германия;Керамика; 9х13см;BOLTZE;2;;2
21170;"Подсвечник &quot;Будда&quot; в ассортименте";https://site.com/upload/iblock/68e/68e01e05fc335460052315788399db4c.jpg;1;2006036;36;680;0;340;Германия;Керамика;11х11х18см;BOLTZE;6;;6
22140;"Подсвечник &quot;Тулия&quot; ";https://site.com/upload/iblock/ca3/ca37fadc005fd7f8f64751194a8ba1f5.jpg;1;2013905;2;8430;;4215;Германия;Металл,стекло;22х22х52см;BOLTZE;1;;1
23364;"Подсвечник &quot;Кружево&quot;";https://site.com/upload/iblock/cd5/cd57022e82ea391fea5dfa23fe467f0c.jpg;1;2010562;6;794;;397;Германия;Стекло,кружево; 7х9см;BOLTZE;1;;1
24134;"Подсвечник &quot;Акита&quot; ";https://site.com/upload/iblock/b85/b8528da797afd72488c339a6fe4de262.jpg;1;2014364;1;9340;;4670;Германия;Дерево,металл;35х58см;BOLTZE;2;;1
14126;"Свеча &quot;Микс крем&quot; в ассортименте  ";https://site.com/upload/iblock/5fb/5fb285c79f36d9c248aab0e4282e9404.jpg;1;2016609;12;574;;287;Германия;Воск;7х10см;BOLTZE;12;;4
18612;"Свеча &quot;Градиент&quot; в ассортименте ";https://site.com/upload/iblock/264/264b277d6b95bd456433b167df8e445f.jpg;1;2015429;40;574;;287;Германия;Воск;7х10см;BOLTZE;12;;4
2232;"Блюдо декоративное &quot;Лист&quot; в ассортименте ";https://site.com/upload/iblock/52c/52c40b5f7c7986328569c1080849ce24.jpg;1;1003067;33;1740;;870;Германия;Алюминий;14х2х26см;BOLTZE;3;;3
2271;"Набор из 2-х декоративных блюд &quot;Кораллы&quot; ";https://site.com/upload/iblock/46e/46e3596892f41a4214a862363e41443e.jpg;1;490706.000.129;2;13100;;6550;Германия;Алюминий;11х33см / 12х39см;POSIWIO;1;;1
2599;Сосуд в ассортименте;https://site.com/upload/iblock/44a/44a31414df0d8ca032d417b710abe550.jpg;1;1016156;30;894;;447;Германия;Керамика;14х14см;BOLTZE;2;;2
2609;"Чашка &quot;Травы&quot; в ассортименте";https://site.com/upload/iblock/6fc/6fc8e61154deccdfd7ed1dbadd2d8180.jpg;1;2016560;24;590;;295;Германия;Фарфор; 9х12см(300мл);BOLTZE;6;;6
4207;"Набор из 3-х декоративных блюд &quot;Листья&quot;";https://site.com/upload/iblock/3da/3daac10cba0e5a91f7f87f746a76e8e7.jpg;1;2016214;30;1780;0;890;Германия;МДФ;10х2,5х27см/14х3х40,5см/17,5х3,5х48,5см;BOLTZE;2;;2
5979;"Тарелка &quot;Травы&quot; в ассортименте ";https://site.com/upload/iblock/82f/82f95e5a3cba836dae04a24c9f2fbccd.jpg;1;2016559;18;940;;470;Германия;Фарфор;2х21см;BOLTZE;6;;6
9933;"Кружка &quot;Гербарий&quot; ";https://site.com/upload/iblock/372/3729280bd2a17cce8e8bb48421acb25a.jpg;1;2010618;16;794;;397;Германия;Терракота;9,5х11см(350мл);BOLTZE;;;6
14516;"Блюдо &quot;Линда&quot;в ассортименте";https://site.com/upload/iblock/bab/babc65fe0294e155df18090d29e13403.jpg;1;2009677;24;1750;;875;Германия;Фарфор; 15х3х29см;BOLTZE;3;;3
15215;"Тарелка &quot;Гербарий&quot;";https://site.com/upload/iblock/165/165a68d39d5ba7318a34806f5d905ae3.jpg;1;2010464;18;740;;370;Германия;Терракота; 6х15см (200мл);BOLTZE;6;;6
